TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE,COLUMN_KEY,COLUMN_DEFAULT,EXTRA
"attendancerecord","id","int","NO","PRI",,"auto_increment"
"attendancerecord","employeeId","int","NO","MUL",,""
"attendancerecord","date","date","NO","MUL",,""
"attendancerecord","checkInTime","datetime","YES","",,""
"attendancerecord","checkOutTime","datetime","YES","",,""
"attendancerecord","checkInPhoto","varchar","YES","",,""
"attendancerecord","checkOutPhoto","varchar","YES","",,""
"attendancerecord","checkInLat","double","YES","",,""
"attendancerecord","checkInLng","double","YES","",,""
"attendancerecord","checkOutLat","double","YES","",,""
"attendancerecord","checkOutLng","double","YES","",,""
"attendancerecord","status","enum","NO","","ABSENT",""
"attendancerecord","isLate","tinyint","NO","","0",""
"attendancerecord","lateDuration","int","NO","","0",""
"attendancerecord","workDuration","int","NO","","0",""
"attendancerecord","overtimeDuration","int","NO","","0",""
"attendancerecord","notes","text","YES","",,""
"attendancerecord","createdAt","datetime","NO","","CURRENT_TIMESTAMP(3)","DEFAULT_GENERATED"
"attendancerecord","updatedAt","datetime","NO","",,""
"attendancerule","id","int","NO","PRI",,"auto_increment"
"attendancerule","companyLat","double","NO","",,""
"attendancerule","companyLng","double","NO","",,""
"attendancerule","radiusKm","double","NO","","0.1",""
"attendancerule","overtimeMinHours","int","NO","","1",""
"attendancerule","overtimeRate","double","NO","","1.5",""
"attendancerule","updatedAt","datetime","NO","",,""
"department","id","int","NO","PRI",,"auto_increment"
"department","name","varchar","NO","",,""
"department","createdAt","datetime","NO","","CURRENT_TIMESTAMP(3)","DEFAULT_GENERATED"
"department","updatedAt","datetime","NO","",,""
"employee","id","int","NO","PRI",,"auto_increment"
"employee","nik","varchar","NO","UNI",,""
"employee","name","varchar","NO","",,""
"employee","email","varchar","YES","UNI",,""
"employee","password","varchar","NO","",,""
"employee","phone","varchar","YES","",,""
"employee","address","varchar","YES","",,""
"employee","photoUrl","varchar","YES","",,""
"employee","isActive","tinyint","NO","","1",""
"employee","departmentId","int","YES","MUL",,""
"employee","positionId","int","YES","MUL",,""
"employee","shiftId","int","YES","MUL",,""
"employee","createdAt","datetime","NO","","CURRENT_TIMESTAMP(3)","DEFAULT_GENERATED"
"employee","updatedAt","datetime","NO","",,""
"holiday","id","int","NO","PRI",,"auto_increment"
"holiday","date","datetime","NO","UNI",,""
"holiday","description","varchar","NO","",,""
"position","id","int","NO","PRI",,"auto_increment"
"position","name","varchar","NO","",,""
"position","createdAt","datetime","NO","","CURRENT_TIMESTAMP(3)","DEFAULT_GENERATED"
"position","updatedAt","datetime","NO","",,""
"shift","id","int","NO","PRI",,"auto_increment"
"shift","name","varchar","NO","",,""
"shift","startTime","varchar","NO","",,""
"shift","endTime","varchar","NO","",,""
"shift","lateTolerance","int","NO","","15",""
"shift","createdAt","datetime","NO","","CURRENT_TIMESTAMP(3)","DEFAULT_GENERATED"
"shift","updatedAt","datetime","NO","",,""
